aligned,lapvar,lpips,method,n_inliers,niqe,pair,psnr,scenario,ssim
False,5.415324998593748,0.2014915943145752,B1_lanczos,0,8.857979604902997,pair_08,29.067406211911887,S1,0.9331318499104471
True,817.1444671760997,0.5987570881843567,B2_homog_alpha,6,6.544214789224476,pair_08,15.390243080943524,S1,0.6863706245697869
True,27.7744572332639,0.42554396390914917,B3_affine_alpha,3,5.748901326642417,pair_08,16.964136175877126,S1,0.7749171180259019
True,27.7744572332639,0.42554396390914917,V2_affine_only,3,5.748901326642417,pair_08,16.964136175877126,S1,0.7749171180259019
True,45.09488644137915,0.432975172996521,V3_affine_flow,3,4.946025355486725,pair_08,16.953547046359517,S1,0.772736065193779
True,230.15198795702457,0.4964359700679779,V4_affine_lab,3,4.235175132471085,pair_08,23.386956483138675,S1,0.7435322771335041
True,7.98530520830621,0.2174862176179886,V5_full_nopost,3,6.23752541089732,pair_08,29.03673776990514,S1,0.9242442963524629
True,192.17185100331602,0.47796207666397095,V5_full,3,4.35502017704717,pair_08,23.922728877476107,S1,0.7670148440875652
True,7.98530520830621,0.2174862176179886,P1_fidelity,3,6.23752541089732,pair_08,29.03673776990514,S1,0.9242442963524629
True,48.323859364578986,0.32973846793174744,P2_light_post,3,4.492533244798904,pair_08,25.81247306961243,S1,0.879053625990283
True,328.61737760264066,0.4086807370185852,A1_lightglue,24,4.905287983685953,pair_08,24.216294327769635,S1,0.7894388244552972
True,230.15198795702457,0.4964359700679779,A2_raft,3,4.235175132471085,pair_08,23.386956483138675,S1,0.7435322771335041
True,319.87777604166666,0.40567681193351746,A3_learned,24,5.051476373067475,pair_08,24.370165029938402,S1,0.7953790979681716
True,13.638274999946832,0.21653826534748077,P3_fidelity_lg,24,5.593088829772883,pair_08,29.012304322851623,S1,0.9246169162297098
,2.466075552566545,0.2268572747707367,Base_M1,,10.068606029461021,pair_09,27.737731806773688,S1,0.9327312515055637
False,4.900421729175348,0.21971452236175537,B1_lanczos,0,9.04845960094224,pair_09,27.722930185600273,S1,0.9305956832227261
True,52.5541253304887,0.2522578239440918,B2_homog_alpha,9,6.0698540535243195,pair_09,20.224809554050537,S1,0.845371715425023
True,166.27804300415482,0.46120500564575195,B3_affine_alpha,4,6.536507390911614,pair_09,14.956080530195612,S1,0.762889439939756
True,166.27804300415482,0.46120500564575195,V2_affine_only,4,6.536507390911614,pair_09,14.956080530195612,S1,0.762889439939756
True,148.35649638224575,0.463765412569046,V3_affine_flow,4,6.350824675592998,pair_09,14.967283363232621,S1,0.7618179350271227
True,571.2594444305281,0.5520278215408325,V4_affine_lab,4,6.294608101420429,pair_09,23.104351211164502,S1,0.7153215598801778
True,19.711380770238403,0.26568692922592163,V5_full_nopost,4,6.367807960986736,pair_09,27.64864687099472,S1,0.9137103793058332
True,465.0265626859633,0.5506454706192017,V5_full,4,6.02541652537114,pair_09,23.27113185298238,S1,0.7181116935412278
True,19.711380770238403,0.26568692922592163,P1_fidelity,4,6.367807960986736,pair_09,27.64864687099472,S1,0.9137103793058332
True,118.93474219027458,0.38132843375205994,P2_light_post,4,5.256062404318525,pair_09,25.116780424301194,S1,0.8518628102654339
True,350.5012413443722,0.4589422047138214,A1_lightglue,23,5.266171505357885,pair_09,23.751400615609256,S1,0.7740833950472418
True,571.2594444305281,0.5520278215408325,A2_raft,4,6.294608101420429,pair_09,23.104351211164502,S1,0.7153215598801778
True,446.117346284174,0.4473836123943329,A3_learned,23,5.280114553417233,pair_09,23.786218510285373,S1,0.7757068397118029
True,15.55134239434196,0.22702138125896454,P3_fidelity_lg,23,5.754019208830371,pair_09,27.653487644595707,S1,0.9220878602505982
,4.019694115853527,0.34944677352905273,Base_M1,,9.502308929855134,pair_10,25.765371027224138,S1,0.8839667315691618
False,5.486548883518007,0.3459605574607849,B1_lanczos,0,9.667396048315291,pair_10,25.753836958429762,S1,0.8828507850551994
